Model,Accuracy,Precision,Recall,F1-score
KNN,0.8924050632911392,0.7469919786096256,0.7798182506626278,0.7617738359201773
DecisionTree,0.8291139240506329,0.6597222222222222,0.743847027641045,0.6843507214206437
NaiveBayes,0.7468354430379747,0.6610169491525424,0.8561151079136691,0.6595561301443654
